Message,Subject,Date,URL
001/23,"RECAP OF EFFECTIVE 2022 NAVADMIN GENERAL MESSAGES",03/07/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23001.txt?ver=jUfY_nggeIUhgAHvA2vfWw%3d%3d
002/23,"ANNOUNCING NEW YEARS DAY DECK LOG POEM CONTEST FOR 2023",01/03/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23002.txt?ver=UgQbRQCA1i9RP1lvzPNjzQ%3d%3d
"003/23 ","FISCAL YEAR 2023 NAVY INFORMATION TECHNOLOGY PROCUREMENT REQUIREMENTS AND SUBMISSION GUIDANCE",01/09/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23003.txt?ver=9j8TgXaNwCk4hG2dpbig0A%3d%3d
004/23,"NAVAL SPECIAL WARFARE SEAL/SWCC SENIOR ENLISTED RETENTION BONUS PROGRAM",01/10/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23004.txt?ver=VEwDLQ6zqGV-tIgaFi6GcA%3d%3d
005/23,"REMOVAL OF COVID-19 VACCINATION MANDATE   FACT SHEET",01/11/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23005.txt?ver=a3G5K2LQwybusE7ETK7uLQ%3d%3d
006/23,"ANNUAL CALL FOR APPLICATIONS FROM QUALIFIED NAVY PERSONNEL FOR THE SYRACUSE UNIVERSITY ADVANCED MILITARY VISUAL JOURNALISM TRAINING PROGRAM 2023

    ",01/17/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23006.txt?ver=MlF0X5eEpaIQwyM0ItlziQ%3d%3d
007/23,"UNNUMBERED NAVADMIN",02/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23007.txt?ver=RcXT-lXGJISfLy2FeItbzw%3d%3d
008/23,"EXPANSION OF THE MILITARY PARENTAL LEAVE PROGRAM  FACT SHEET",01/19/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23008.txt?ver=jHAMug-P7GWQs1pM85GoEg%3d%3d
009/23,"US NAVAL COMMUNITY COLLEGE AVIATION MAINTENANCE TECHNOLOGY PROGRAM CALL FOR APPLICATIONS",01/20/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23009.txt?ver=jIBlVtTgsL2l6NpboN9m1A%3d%3d
010/23,"FY-24 CHAPLAIN CORPS ADVANCED EDUCATION PROGRAM (CORRECTED COPY)",01/23/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23010.txt?ver=TaE7T8na-UDhz4Uky4liRg%3d%3d
011/23,"ACTIVE-DUTY PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER, LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND STAFF CORPS (CORRECTED COPY)

    ",01/23/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23011.txt?ver=dbltBBnq_ZhuBe9xcuSW5A%3d%3d
012/23,"NAVY RESERVE PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER, LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND STAFF CORPS

    ",01/23/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23012.txt?ver=-ym3Qfm1BVT6DYhVW4TLFw%3d%3d
013/23,"2022 DEPARTMENT OF DEFENSE AWARD FOR SUPPLY CHAIN EXCELLENCE AWARDS-CALL FOR NOMINATIONS ",01/23/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23013.txt?ver=TGLkpWlUBq5E2gu5X2vU4A%3d%3d
014/23,"MEDICAL RETENTION REVIEWS FOR THE NAVY SELECTED RESERVE MEMBER",01/24/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23014.txt?ver=Cy4dFBdLDNc5lLAMGIS-qA%3d%3d
015/23,"U.S. FLEET FORCES COMMAND LIMITED DUTY AND DISABILITY EVALUATION SYSTEM IMPROVEMENT SPRINT",01/27/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23015.txt?ver=iOPL4iBNxbvljmz6OVRhyQ%3d%3d
016/23,"NOTICE OF CONVENING FY-24 NAVY RESERVE TRAINING AND ADMINISTRATION OF THE RESERVES LIEUTENANT COMMANDER RETENTION AND CONTINUATION SELECTION BOARDS

    ",01/27/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23016.txt?ver=XhWC4qB3_1pj2PonWYx6TA%3d%3d
017/23,"MIT SEMINAR XXI CLASS OF ACADEMIC YEAR 2023-2024 CALL FOR APPLICATIONS (CORRECTED COPY)",01/25/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23017.txt?ver=Rw-ckCMw3GUGUS4Igv8xBw%3d%3d
018/23,"POLICY FOR ACTIVATION AND EMPLOYMENT OF RESERVE COMPONENT FORCES",02/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23018.txt?ver=zMHZHlkeKCayGN6ZLOxdUQ%3d%3d
019/23,"FY-24 PERMANENT MILITARY PROFESSOR SELECTION BOARD",01/31/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23019.txt?ver=-DB9KUvNq3Aht7_itAk0uQ%3d%3d
020/23,"ADMIRAL STAN ARTHUR AWARDS-CALL FOR CY 2022 NOMINATIONS",01/31/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23020.txt?ver=n9daKbY2LZK0y7vv9d3mug%3d%3d
021/23,"TRANSITION OF RECORDS STORAGE AND SERVICES TO COMMERCIAL STORAGE",02/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23021.txt?ver=RqmVmUJbmNdZYJT5PPOaRw%3d%3d
022/23,"SUBMITTING MANDATORY COMMAND OPERATIONS REPORT (COR) FOR CY 2022 (CORRECTED COPY)",02/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23022.txt?ver=Og8cZLegYr8WH6Z4sqR2MQ%3d%3d
023/23,"2023 MERITORIOUS ADVANCEMENT PROGRAM SEASON ONE  FACT SHEET",02/01/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23023.txt?ver=dKgjw88gEzvY_ZXQvgaMLg%3d%3d
024/23,"FISCAL YEAR 2022 COPERNICUS AWARD WINNERS ANNOUNCEMENT",02/02/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23024.txt?ver=rFB1-5Wlz1gCkFolAjv4iA%3d%3d
025/23,"ORDER TO UPDATE NAVY FAMILY ACCOUNTABILITY AND ASSESSMENT SYSTEM PERSONAL CONTACT INFORMATION (MARCH 2023) ",02/03/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23025.txt?ver=A0RPfXnnkab19FKvccvMNQ%3d%3d
026/23,"ACADEMIC YEAR 2024 MEDICAL SERVICE CORPS IN-SERVICE PROCUREMENT PROGRAM SELECTION BOARD",02/07/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23026.txt?ver=vXtKkN9YURGPyKyl-oRopQ%3d%3d
027/23,"RETENTION EXCELLENCE AWARD",02/07/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23027.txt?ver=CzCcsTEBK0xaX05vHnmfdg%3d%3d
028/23,"TRAINING AND ADMINISTRATION OF THE RESERVE OFFICER IN-SERVICE PROCUREMENT PILOT PROGRAM",02/07/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23028.txt?ver=RElKvrT7aqB42cNof-18Ag%3d%3d
029/23,"2023 ACTIVE DUTY FUND DRIVE IN SUPPORT OF THE NAVY-MARINE CORPS RELIEF SOCIETY ",02/08/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23029.txt?ver=gKbTS3Fm68lCueU7Svmryw%3d%3d
030/23,"ADVANCEMENT EXAMINATION READINESS REVIEW 3RD AND 4TH QUARTER FISCAL YEAR 2023 SCHEDULE AND IDENTIFICATION OF FLEET SUBJECT MATTER EXPERTS

    ",02/09/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23030.txt?ver=vqp_Gu4Xr4EghEmpeMXXeA%3d%3d
032/23,"2022 AMERICAN LEGION SPIRIT OF SERVICE AWARD",02/10/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23032.txt?ver=ycPW-1OjPMeVyhD3W1g0Lg%3d%3d
033/23,"SPRING FISCAL YEAR 2023 TRAINING AND ADMINISTRATION OF THE RESERVE (TAR) OFFICER TRANSFER AND REDESIGNATION BOARD

    ",02/13/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23033.txt?ver=c3C-GTCevHejDS9GdYVgIw%3d%3d
034/23,"NAVY ATTENDANCE AT THE APRIL 2023 NAVY LEAGUE OF THE UNITED STATES SEA-AIR-SPACE EXPOSITION",02/14/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23034.txt?ver=0AgX8aNQoiiDpx8KC8kcpg%3d%3d
035/23,"FY-24 ACTIVE-DUTY NAVY LIMITED DUTY OFFICER AND CHIEF WARRANT OFFICER IN SERVICE PROCUREMENT SELECTION BOARD RESULTS ",02/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23035.txt?ver=Y-hKoSLcElsdLOU9tdLI4Q%3d%3d
036/23,"FY-24 NAVY RESERVE LIMITED DUTY OFFICER AND CHIEF WARRANT OFFICER IN SERVICE PROCUREMENT SELECTION BOARD RESULTS ",02/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23036.txt?ver=WStkYOCbryCikD5zCbuoQg%3d%3d
037/23,"PERSONAL FOR COMMANDERS, COMMANDING OFFICERS, AND EXECUTIVE OFFICERS EYES ONLY - 2023 VICE ADMIRAL JAMES BOND STOCKDALE LEADERSHIP AWARD ",02/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23037.txt?ver=JGMyeLlmiI05YE4g8tcVBA%3d%3d
038/23,"U.S. NAVY COVID-19 STANDARDIZED OPERATIONAL GUIDANCE 8.0  FACT SHEET",02/15/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23038.txt?ver=B6biDbLSuj-gV-JQXM_W4w%3d%3d
039/23,"2023 CHIEF OF NAVAL OPERATIONS NAVAL HISTORY ESSAY CONTEST",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23039.txt?ver=G1QbxgJPOdTsei4jDKg4yA%3d%3d
040/23,"ACTIVE-DUTY PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER,

   LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND

   STAFF CORPS

    ",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23040.txt?ver=kHY0elfAh2988nXxzdXATA%3d%3d
041/23,"NAVY RESERVE PROMOTIONS TO THE PERMANENT GRADES OF CAPTAIN, COMMANDER, LIEUTENANT COMMANDER, LIEUTENANT, AND CHIEF WARRANT OFFICER IN THE LINE AND STAFF CORPS

    ",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23041.txt?ver=GbnLUFJhuzYrAWQ3Q_oJ9g%3d%3d
042/23,"PHYSICAL FITNESS ASSESSMENT FAILURE RESET  FACT SHEET",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23042.txt?ver=ydPsZ-hLizh4e4PjLGBCWQ%3d%3d
043/23,"ENLISTED APPLICATIONS BEING ACCEPTED BY NAVY FLIGHT DEMONSTRATION SQUADRON (BLUE ANGELS) FOR 2024",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23043.txt?ver=Sd0doWIGlVFXAhxm7OpQAw%3d%3d
044/23,"FY-24 SEAMAN TO ADMIRAL-21 PROGRAM ANNOUNCEMENT  FACT SHEET",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23044.txt?ver=6bhwWAhPwlW5yZyNezv4yg%3d%3d
045/23,"SURFACE WARFARE OFFICER LIEUTENANT COMMANDER RETENTION BONUS",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23045.txt?ver=sRpbG2BSW6LD7cAXZk0xfw%3d%3d
046/23,"SURFACE WARFARE OFFICER DEPARTMENT HEAD RETENTION BONUS",02/16/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23046.txt?ver=9RSX6_bSEKudxQsdYrzn-w%3d%3d
047/23,"UNITED STATES NAVAL COMMUNITY COLLEGE INTEGRATED NAVAL STUDIES CERTIFICATE COHORT CALL FOR APPLICATIONS

    ",02/17/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23047.txt?ver=Ixg-bH4dpFRzYr6V6ZWWRA%3d%3d
048/23,"FY-24 COMMAND MASTER CHIEF SCREEN BOARD RESULTS",02/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23048.txt?ver=IHldD4v7jBRN80BRlW1WPw%3d%3d
049/23,"FY-24 COMMAND SENIOR CHIEF SCREEN BOARD RESULTS (CORRECTED COPY)",02/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23049.txt?ver=zpCB0_NrDiQZk5dPR8y5Jw%3d%3d
050/23,"FY-24 ACTIVE-DUTY NAVY COMMAND MASTER CHIEF PETTY OFFICER ADVANCEMENT SELECTION BOARD RESULTS",02/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23050.txt?ver=3TW3Z0Jrj9DANzGufOX2OQ%3d%3d
051/23,"FY-24 NAVY RESERVE COMMAND MASTER CHIEF PETTY OFFICER ADVANCEMENT SELECTION BOARD RESULTS",02/21/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23051.txt?ver=bA6ipamZfFcdNd9yLiM5HA%3d%3d
052/23,"2023 ASSOCIATION OF OLD CROWS OUTSTANDING NAVY UNIT AWARD NOMINATIONS",02/22/2023,https://www.mynavyhr.navy.mil/Portals/55/Messages/NAVADMIN/NAV2023/NAV23052.txt?ver=j2K5ggkUIfaAYcCo9msgHQ%3d%3d
